id,version,version2,CHG,ROC,RDT,RSD,OPR,RON,SFI,MRD,MFR,MPN,SER,RRC,FFC,FFI,FCR,FAC,FBC,FHS,REM,INT,SHL,RFI,SAC,MFR3,AMC,MFN,ASE,REG,AIN,TRF,OTT,OPC,check,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,FDX,Meggitt SA,350282294,1/6/17,S3960,241-215-000-031,0220,U,NT,NA,NA,NA,NA,NA,* For repair - * mel'ed * C/W Policy sheet M-77-32-01 Dated 03 Dec 2009 * A/C: N/A / A/C reg: N/A * TSN: 25005:22 / CSN: 6379 * PFR: NO * PMA: NO * Quote: YES * PO amount: 4930.00 * EASA / FAA,Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,,ZZZZZ,UNK,,,UNK,UNK,N,25005,6379,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,AUA,Meggitt SA,350282610,1/10/17,S3960,241-324-000-012,AD86703,U,NT,NA,NA,NA,NA,NA,* For Functional Test acc to latest Manufacturer´s Documents * Reason for removal: STATUS MSG: ENG VIB MONITOR R MMSG: 77-08862 * TSN: N/A // CSN: N/A * A/C: OE-LPE * PMA: Yes * EASA  / FAA,"Seal ok, no major damage was notified at reception. Internal module checked. Unit works within specification. No fault found. Your otions: A) Unit tested and recertified at price:    872.00 EUR B) Unit returned in As Is condition at price:    872.00 EUR C) Unit scrapped on site at price:    872.00 EUR",R2,1,,81205,777,Boeing,200ER,OE-LPE,27607,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,UTA,Meggitt SA,350282616,1/10/17,S3960,6672M202,CF81,U,NT,NA,NA,NA,NA,NA,* For test and repair acc to latest Manufacturer`s Documents * Doesn't work properly * TSN: N/A // CSN: N/A * A/C: VQ-BIE * PMA: Yes * EASA / FAA,Subcontrated to MOC,R3,0,IRTR,81205,737,Boeing,400,VQ-BIE,28476,,,,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,RYR,Meggitt SA,350283154,1/13/17,S3960,241-280-056-014,AC63846,U,NT,NA,NA,NA,NA,NA,"* for repair in accordance with the latest revision of the manufacturers   CMM. Defect: Engine #1 vibration out of limits, displaying up to 4.3   units fluctuating between 1 - 4 units @idle. #1 Engine grnd idle run   c/out, no fluctuating of engine vibration indication noted. To aid   troubleshooting AVM signal conditioner replaced IAW AMM REV 61. ""AVM   syst fault 00"" recorded on AVM unit. * TSN/CSN: 26586/15325 * EASA / FAA","Service Rep EVM280 Seal ok, no major damage was notified at reception. Self test ok. Unit works within specification. No fault found.",R2,1,,,,,,,,N,26586,15325,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,RYR,Meggitt SA,350283256,1/16/17,S3960,241-298-002-015,AE41114,U,NT,NA,NA,NA,NA,NA,"* For repair - * #2 Emg vib indication blanks intermittently. Invest c7out IAW FIM 77-05   tsk 805, suspect AVM fault defect tx to hil IAW mel 77-05- 02. AVM signal   conditioner replaced IAW AMM 73-31-03 Rev 61 * A/C: N/A / A/C reg: N/A * TSN: 21518 / CSN: 12197 * PFR: NO * PMA: NO * Quote: YES * EASA / FAA","Service Rep EVM298 Seal ok, no major damage was notified at reception. Self test ok. Fault in memory ""Tacho loss E2"" due to external cause. Unit tested under thermal stress. Unit works within specification. No fault found.",R2,1,,,,,,,,N,21518,12197,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,GTI,Meggitt SA,350283357,1/16/17,S3960,241-126-000-101,0140,U,FT,NA,CR,NA,NA,HW,"* For inspection, test and repair - #1 channel inop. * A/C: N652GT    TSN: 81401:26    CSN: 22429    PMA: No Quote: Yes * PO amount: No    PBH: No    PFR: No * EASA + FAA","Seal(s) broken. Customer complain confirmed, Unit has no output on engine2 channel1. Channel module is non repararable due to obsolecence. Channel module is no more produced.",R2,1,,81205,767,BOEING,200BDSF,N652GT,22571,N,3221,2196,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,JAL,Meggitt SA,350283544,1/17/17,S3960,241-280-056-014,AB42859,U,NT,NA,NA,NA,NA,NA,* For repair - Vib ind blank. * A/C: JA331J    A/C reg: 737-846    TSN: 22909    CSN: 16122    PMA: No * Quote: Yes    PO amount: No    PBH: No    PFR: Yes * Special SB/CMM request: In accordance with applicable CMM or OEM   drawings incl. * EASA + FAA,"Service Rep EVM280 Seal ok, no major damage was notified at reception. Self test ok. No fault in memory. Unit works within specification. No fault found.",R2,1,,81205,737,BOEING,800,JA331J,40346,N,22909,16122,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,SIA,Meggitt SA,350283839,1/17/17,S3960,241-323-007-021,AF20319,U,FT,NI,CR,NA,NA,HW,"* For repair - STS ""Eng vib monitor R"" M03888 * 9V-SRQ, TSN: 16715.31, CSN: 4511 * * EASA / FAA","Service Rep EVM323 Seal ok, no major damage was notified at reception. Unit works within specification. Due to fault in memory 10 and 18, VPM module must be replaced via SB 323-77-006 rev 0, new Modrec 8. Unit must be reprogrammed. Soft Rolls loaded via SB 323-77-005 rev 2.",R2,1,,81205,777-200ER,BOEING,33371,9V-SRQ,,N,16715,4511,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,NAX,Meggitt SA,350284045,1/19/17,S3960,241-298-002-015,AH98860,U,NT,NA,NA,NA,NA,NA,"* For repair - No vibration indication on engine display. * A/C: LN-NGG    A/C reg: B737    TSN: 14234    CSN: 8285 * PMA: No    Quote: Yes    PO amount: No    PBH: No    PFR: No * EASA + FAA+ TCCA * PO amount: 104,20 $","Service Rep EVM298 Seal ok, no major damage was notified at reception. Self test ok. Unit works within specification. No fault found.",R2,1,,81205,737,BOEING,800,LN-NGG,39018,N,14234,8285,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,KAL,Meggitt SA,350284070,1/19/17,S3960,241-324-000-012,AM19066,U,NT,NA,NA,NA,NA,NA,"* for warranty repair - Defect: Status ""ENG vib monitor L"" / status ""ENG   vib monitor L"" * A/C reg: HL8076 - Engine type: 777_AC - TSI/CSI: 305/54 - PFR: YES * EASA / FAA","Service Rep ARCC Seal ok, no major damage was notified at reception. Unit works within specification. No fault found.",R2,1,,81205,777,BOEING,200F,HL8076,62632,I,305,54,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,AIC,Meggitt SA,350284546,1/23/17,S3960,241-251-000-121,EB281,U,FT,NI,CR,NA,NA,HW,* for repair - Defect: No vib ind on eng 3<(>&<)>4 * A/C reg: VT-EVA - TSN/CSN: 61575.00/1085.00 * EASA / FAA,Seal(s) ok and no physical damage has been noticed. Power test was fail at reception due to open fuse on Power Supply Module Fuse will be replaced and unit will be tested and recertified iaw CMM listed above.,R2,1,REPR,81205,747,BOEING,400,VT-EVA,28094,N,61575,1085,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,CLX,Meggitt SA,350285054,1/26/17,S3960,241-280-051-012,0217,U,FT,NA,CR,NA,NA,HW,* For repair - * AVM signal conditioner engines 3 <(>&<)> 4. MSG 77113 * A/C: 747 / A/C reg: LX-SCV * TSN: 78094:52 / CSN: 14982 * PFR: NO * PMA: NO * Quote: YES * EASA / FAA,"Seal(s) ok and no major physical damage has been noticed. Unit intermitent fail due to defective EEprom. EEprom will be changed IAW SB280-77-005. SB280-77-006 will be incorptorate during ATP, mod rec3 will be added.",R2,1,,81205,747,BOEING,400F,LX-SCV,29733,N,78094,14982,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,SIA,Meggitt SA,350285107,1/27/17,S3960,241-323-007-021,AF00365,U,NT,NA,NA,NA,NA,NA,* for repair - ENG vib monitor L sts msg * A/C reg: 9V-SRL - TSN/CSN: 15970:56/4918 * EASA / FAA,"Service Rep EVM323 Seal ok, no major damage was notified at reception. Unit works within specification. No fault found. Soft Rolls loaded iaw SB 323-77-005 rev 2.",R2,1,,81205,777,BOEING,200ER,9V-SRL,32334,N,15970,4918,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,AEA,Meggitt SA,350286268,2/6/17,S3960,241-280-056-014,AA83050,U,FT,NI,CR,NA,NA,HW,* For repair - * No vibration indication displayed on CDS unit * A/C: 737 / A/C reg: EC-JAP * TSN: N/A / CSN: N/A * PFR: NO * PMA: NO * Quote: YES * EASA / FAA / TCCA,"Seal(s) ok and no major physical damage has been noticed. Customer complain confirmed, diplay blank at reception. Processing module must be repaired. Power line filter will be changed IAW SBSB280-77-002 rev1, mod rec3 will be added. SB280-77-006 rev1 will be done during ATP, mod rec 5 will be added",R2,1,,81205,737,BOEING,800,EC-JAP,33971,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,SOO,Meggitt SA,350286291,2/6/17,S3960,241-322-008-022,AH00562,U,FT,NI,NC,NA,NA,SW,* For repair - * Exsisting fault MSG 77-00032 SCU for right eng has an internal fault   description sign 172528 * A/C: 777 / A/C reg: N714SA * TSN: 24942 / CSN: 2560 * PFR: NO * PMA: NO * Quote: YES * EASA / FAA / TCCA / CAAC,"Service Rep EVM322 Seal ok, no major damage was notified at reception. Not possible to read fault in memory. Failure on ATP step 1.4 "" Load flight software"". Comm,Arinc and VPM  must be tested on Jtag. Unit must be reprogrammed. Oscillators on Arinc module and VPM module must be replaced preventivelly.",R2,1,,81205,777,BOEING,200F,N714SA,37988,N,24942,2560,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,LHT,Meggitt SA,350286735,2/9/17,S3960,241-256-000-131,EF508,U,NT,NA,NA,NA,NA,NA,"* For warranty repair - * Special investigation, same failure in ABVR acc history * A/C: 747 / A/C reg: D-ABVO * TSN: 99515 / CSN: 11751 * PFR: NO * PMA: YES * Quote: YES * EASA / FAA",Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found. As this unit is suspected as a rogue unit by the customer and all the test as been done in our shop without any problem detected. We propose you the following options:,R2,1,,81205,747,BOEING,400,D-ABVO,28086,N,99515,11751,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,CPA,Meggitt SA,350287033,2/13/17,S3960,241-322-007-021,AD39173,U,NA,NA,NA,NA,NA,NA,* for repair - * Ref A625 STS msg eng vib monitoring R * A/C: 777 / A/C reg: B-KPJ * TSN: 43490:45 / CSN: 4630.00 * PFR: NO * PMA: NO * Quote: YES * Special SB/CMM request: AMM 77-31-03 Rev janv 17 * EASA / FAA,"Service Rep EVM322 Seal ok, No Physical damage was noticed at reception. The unit PNR:241-322-007-021 will be upgraded to the new version PNR:241-322-008-022 Mod Rec.1. Oscillators on VPM module and Arinc module must be replaced preventively.",R2,1,,81205,777,BOEING,300ER,B-KPJ,36157,N,43490,4630,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,RYR,Meggitt SA,350287829,2/17/17,S3960,241-298-002-015,AM08843,S,NA,NA,NA,NA,NA,NA,* For test - * Return delivery from loan order L7240716 * Removed from A/C: DHE * TSN: 1618 / CSN: 938 * PFR: NO * PMA: NO,Seal(s) ok and no physical damage has been noticed. No failure detected in memory at reception. Self test is pass. Unit works within specifications. No fault found. Unit will be back to stock exchange (loan return).,R2,1,TEST,,,,,,,N,1618,938,3,
