Plant,Material,Subassembly,Component,Feature,Description
3101,521415-3,REGULATOR ASSEMBLY,"WASHER, FLAT",Surface,worn
3101,521415-3,REGULATOR ASSEMBLY,"WASHER, FLAT",Surface,worn
3101,521415-3,REGULATOR ASSEMBLY,"SPRING, COMPRESSION",,damaged
3101,521415-3,REGULATOR ASSEMBLY,"COVER, REGULATOR",Surface,Dent
3101,521415-3,EXTERNALLY CAUSED,External contamination (Induced),,f.o.d
3101,521415-3,EXTERNALLY CAUSED,External contamination (Induced),,oil
3101,521415-3,EXTERNALLY CAUSED,External contamination (Induced),,other
3101,521415-3,EXTERNALLY CAUSED,External contamination (Induced),,particulate
3101,521415-3,EXTERNALLY CAUSED,External contamination (Induced),,water
3101,521415-3,EXTERNALLY CAUSED,Maintenance and handling,,installation problem
3101,521415-3,EXTERNALLY CAUSED,Maintenance and handling (induced),,external damage
3101,521415-3,EXTERNALLY CAUSED,Maintenance and handling (induced),,missing parts
3101,521415-3,EXTERNALLY CAUSED,Maintenance and handling (induced),,see analysis discussion
3101,521415-3,NO FAILURES HAD OCCURRED,Modify,,.
3101,521415-3,NO FAILURES HAD OCCURRED,Overhaul,,.
3101,521415-3,NO FAILURES HAD OCCURRED,Recertification,,.
3101,521415-3,NO FAILURES HAD OCCURRED,See analysis discussion,,.
3101,521415-3,NO FAILURES HAD OCCURRED,Test okay,,.
3101,521415-3,OTHER,Failure Cause Undetermined,,.
3101,521415-3,OTHER,Ground strap,,bent
3101,521415-3,OTHER,Ground strap,,corroded
3101,521415-3,OTHER,I.D. Plate,,damaged
3101,521415-3,OTHER,I.D. Plate,,loose
3101,521415-3,OTHER,I.D. Plate,,missing
3101,522915,BODY ASSEMBLY,Body machined,plug-koenig,worn
3101,522915,BODY ASSEMBLY,Body machined,ball,damage
3101,522915,BODY ASSEMBLY,Body machined,"probe, inlet",worn
3101,522915,BODY ASSEMBLY,Body machined,bushing,worn
3101,522915,BODY ASSEMBLY,Body machined,bushing,damage
3101,522915,VALVE ASSEMBLY,Valve,pre-form wire,Broken
3101,522915,VALVE ASSEMBLY,Valve,ball ceramic,broken
3101,522915,VALVE ASSEMBLY,Valve,ball ceramic,ball deform
3101,522915,VALVE ASSEMBLY,Valve,"cap, bottom",damaged
3101,522915,VALVE ASSEMBLY,Valve,"retainer, seal",worn
3101,522915,VALVE ASSEMBLY,Actuator,washer,missing
3101,522915,VALVE ASSEMBLY,Actuator,washer,damage
3101,522915,VALVE ASSEMBLY,Valve,butterfly ring,damage
3101,522915,VALVE ASSEMBLY,Valve,sleeve,damage
3101,522915,VALVE ASSEMBLY,Valve,"seal-set, shaft",damage
3101,522915,VALVE ASSEMBLY,Valve,"seal-set, shaft",worn
3101,522915,VALVE ASSEMBLY,Valve,machined butterfly,corroded
3101,522915,VALVE ASSEMBLY,Valve,machined butterfly,damage groove
3101,522915,VALVE ASSEMBLY,Valve,machined butterfly,damage
3101,522915,VALVE ASSEMBLY,Valve,machined butterfly,out of round
3101,522915,VALVE ASSEMBLY,Valve,shaft,twisted
3101,522915,VALVE ASSEMBLY,Valve,shaft,broken teeth
3101,522915,VALVE ASSEMBLY,Valve,"shaft, Valve",bent
3101,522915,VALVE ASSEMBLY,Valve,MACHINED COVER,dented
3101,522915,VALVE ASSEMBLY,Actuator,actuator cover,porosity
3101,522915,VALVE ASSEMBLY,Actuator,actuator cover,damage
3101,522915,VALVE ASSEMBLY,Actuator,actuator cover,dented
3101,522915,VALVE ASSEMBLY,Actuator,machined cover,porosity
3101,522915,VALVE ASSEMBLY,Valve,"retainer, spring washer",damage
3101,522915,VALVE ASSEMBLY,Valve,"cap, top",damage
3101,522915,VALVE ASSEMBLY,Valve,"retainer, ball",damage
3101,522915,VALVE ASSEMBLY,Valve,screw cap,porosity
3101,522915,VALVE ASSEMBLY,Valve,screw cap,damage threads
3101,522915,VALVE ASSEMBLY,Valve,crank,damage
3101,522915,VALVE ASSEMBLY,Actuator,link,worn
3101,522915,VALVE ASSEMBLY,Actuator,actuator spring,damage
3101,522915,VALVE ASSEMBLY,Actuator,piston rod guide,bent
3101,522915,VALVE ASSEMBLY,Actuator,guide,bent
3101,522915,VALVE ASSEMBLY,Actuator,Inner piston rod set,damage
3101,522915,VALVE ASSEMBLY,Actuator,expander,damage
3101,522915,VALVE ASSEMBLY,Actuator,expander,damage
3101,522915,VALVE ASSEMBLY,Actuator,"bolt, shoulder",damage threads
3101,522915,VALVE ASSEMBLY,Actuator,MACHINED COVER,dented
3101,522915,VALVE ASSEMBLY,Actuator,e-seal,worn
3101,522915,VALVE ASSEMBLY,Actuator,piston,damage
3101,522915,VALVE ASSEMBLY,Valve,nut,damage threads
3101,522915,VALVE ASSEMBLY,Valve,nylon Screw,damage threads
3101,522915,VALVE ASSEMBLY,Valve,"washer, spring",missing
3101,522915,VALVE ASSEMBLY,Valve,"washer, spring",deform
3101,522915,VALVE ASSEMBLY,Valve,washer,deform
3101,522915,VALVE ASSEMBLY,Valve,washer,deform
3101,522915,VALVE ASSEMBLY,Valve,washer,deform
3101,522915,VALVE ASSEMBLY,Valve,washer,deform
3101,522915,VALVE ASSEMBLY,Valve,washer,deform
3101,522915,VALVE ASSEMBLY,Valve,"SCREW, CAP, SOCKET",Missing
3101,522915,VALVE ASSEMBLY,Valve,WASHER,deform
3101,522915,VALVE ASSEMBLY,Valve,NUT,Damaged
3101,522915,VALVE ASSEMBLY,Valve,"SCREW, CAP, SOCKET",Missing
3101,522915,VALVE ASSEMBLY,Actuator,link,worn
3101,522915,VALVE ASSEMBLY,Actuator,link,worn
3101,522915,VALVE ASSEMBLY,Actuator,link,worn
3101,522915,VALVE ASSEMBLY,Valve,NUT,Damaged
3101,522915,VALVE ASSEMBLY,Valve,Washer,deform
3101,522915,VALVE ASSEMBLY,Valve,"SCREW, CAP, SOCKET",Missing
3101,522915,VALVE ASSEMBLY,Valve,"RING (SET), INNER PISTON",Worn
3101,522915,VALVE ASSEMBLY,Valve,"RING (SET), OUTER PISTON",Worn
3101,522915,VALVE ASSEMBLY,Valve,"GUIDE, PISTON",Worn
3101,522915,VALVE ASSEMBLY,Actuator,Outer piston rod set,damage
3101,522915,EXTERNALLY CAUSED,External contamination (Induced),,f.o.d
3101,522915,EXTERNALLY CAUSED,External contamination (Induced),,oil
3101,522915,EXTERNALLY CAUSED,External contamination (Induced),,other
3101,522915,EXTERNALLY CAUSED,External contamination (Induced),,particulate
3101,522915,EXTERNALLY CAUSED,External contamination (Induced),,water
3101,522915,EXTERNALLY CAUSED,Maintenance and handling,,installation problem
3101,522915,EXTERNALLY CAUSED,Maintenance and handling (induced),,external damage
3101,522915,EXTERNALLY CAUSED,Maintenance and handling (induced),,missing parts
3101,522915,EXTERNALLY CAUSED,Maintenance and handling (induced),,see analysis discussion
3101,522915,NO FAILURES HAD OCCURRED,Modify,,.
3101,522915,NO FAILURES HAD OCCURRED,Overhaul,,.
3101,522915,NO FAILURES HAD OCCURRED,Recertification,,.
3101,522915,NO FAILURES HAD OCCURRED,See analysis discussion,,.
3101,522915,NO FAILURES HAD OCCURRED,Test okay,,.
3101,522915,OTHER,Failure Cause Undetermined,,.
3101,522915,OTHER,Ground strap,,bent
3101,522915,OTHER,Ground strap,,corroded
3101,522915,OTHER,I.D. Plate,,damaged
3101,522915,OTHER,I.D. Plate,,loose
3101,522915,OTHER,I.D. Plate,,missing
