aircraft_fully_qualified_registration_no,aircraft_identification_no,manufacturer_name,manufacturer_code,aircraft_model_identifier,aircraft_series_identifier
N320SG,5118,Bombardier (Canadair),L00I6,Challenger,601-3
N320SW,414A-0451,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N320TF,44495,Boeing,81205,737 Max,8
N320UE,41043,BAE Systems (Jetstream),K1987,Jetstream 41,
N320UP,27747,Boeing,81205,767,300ERF
N320US,0213,Airbus,FA849,A320,200
N320WA,1320,Pilatus,ZZZZZ,PC-12,47
N3216K,LJ-1392,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N3216M,414A-0826,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N321AG,4636563,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N321AJ,FL-519,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N321AK,EX222,Dassault,F6117,Falcon 900,EX
N321AV,LJ-942,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90
N321BF,BY-83,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N321CB,414-0087,Textron Aviation (Cessna),ZZZZZ,Cessna,414
N321CE,421C-1225,Textron Aviation (Cessna),ZZZZZ,Cessna,421 (Piston)
N321CJ,321,Saab,ZZZZZ,Saab 340,B
N321CL,560-5527,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N321CR,4636124,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N321CW,155,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700 B
N321CY,211,Viking Air,ZZZZZ,DHC-6,200
N321DH,7592,Airbus,FA849,A321,200
N321DZ,LJ-367,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air B90
N321F,BC-70,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200
N321FE,47836,Boeing (McDonnell-Douglas),88277,DC-10,30F
N321GG,26445,Boeing,81205,737 (CFMI),500
N321GM,1505SA,Mitsubishi,ZZZZZ,MU-2,B-60 (Marquise)
N321H,414-0625,Textron Aviation (Cessna),ZZZZZ,Cessna,414
N321HA,421B-0420,Textron Aviation (Cessna),ZZZZZ,Cessna 421,421B Turbine
N321JH,414A-0063,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N321KM,50000321,Embraer,001JK,Phenom,100
N321LB,31T-8166012,Piper,ZZZZZ,PA-31T,2 Cheyenne IIXL
N321LH,42-5527012,Piper,ZZZZZ,PA-42,1000 Cheyenne 400LS
N321MH,LJ-2053,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90GTx
N321MS,258515,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,Hawker 800
N321MX,215,Pilatus,ZZZZZ,PC-12,45
N321NB,1414,Airbus,FA849,A319,100
N321NH,208B-5349,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
N321NV,2527,Airbus,FA849,A319,100
N321RL,44452,Boeing,81205,737 Max,8
N321RT,189,Vulcanair,ZZZZZ,P.68,
N321SF,021,Gulfstream,2AAX5,Gulfstream G200 / IAI Galaxy,Gulfstream G200 (IAI Galaxy)
N321SJ,31-7752038,Piper,ZZZZZ,PA-31 Navajo,PA-31-350 Chieftain
N321SM,525B-0320,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N321TR,LA-48,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air F90
N321US,0262,Airbus,FA849,A320,200
N321VK,1508,Pilatus,ZZZZZ,PC-12,47
N3220L,LJ-1420,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N3221M,LJ-1621,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N32238,LJ-1580,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N3229A,UB-51,Textron Aviation (Beechcraft),ZZZZZ,Beech 1900,C
N322AV,320,Viking Air,ZZZZZ,DHC-6,300
N322BC,257176/NA0322,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,HS125 700
N322BH,550-0276,Eclipse,ZZZZZ,Eclipse 500,550
N322BJ,RB-93,Textron Aviation (Beechcraft),ZZZZZ,Premier I,
N322DH,BY-30,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N322DN,7707,Airbus,FA849,A321,200
N322DP,525A-0361,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ2 (Cessna 525A),525A CJ2+
N322FL,50500074,Embraer,001JK,Phenom,300
N322FR,7983,Airbus,FA849,A320,200N neo
N322GC,142,Bombardier (Learjet),L00I6,Learjet 55,C
N322GK,LA-64,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air F90
N322GT,550-1030,Textron Aviation (Cessna),ZZZZZ,Citation Bravo (Cessna 550),550 Citation Bravo
N322HA,402C-0418,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402C
N322JC,525B-0518,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3+
N322K,5507,Gulfstream,2AAX5,Gulfstream G550,
N322LL,50500117,Embraer,001JK,Phenom,300
N322MA,550-0342/551-0378,Textron Aviation (Cessna),ZZZZZ,Citation II (Cessna 550),551 Citation II/SP
N322MR,LJ-1611,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N322NB,1434,Airbus,FA849,A319,100
N322NV,2528,Airbus,FA849,A319,100
N322P,441-0274,Textron Aviation (Cessna),ZZZZZ,Cessna,441
N322PL,000059,Eclipse,ZZZZZ,Eclipse,500
N322QS,50500383,Embraer,001JK,Phenom,300 Platinum
N322R,LJ-746,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90
N322RM,414A-0827,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N322SB,525C-0053,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ4 (Cessna 525C),525C CJ4
N322SG,30322,Boeing,81205,747,400
N322ST,500-0368/501-0278,Textron Aviation (Cessna),ZZZZZ,Citation I (Cessna 500),501 Citation I SP
N322SW,184,Gulfstream,2AAX5,Gulfstream G200 / IAI Galaxy,Gulfstream G200 (IAI Galaxy)
N322TA,760SA,Mitsubishi,ZZZZZ,MU-2,B-60 (Marquise)
N322UP,27748,Boeing,81205,767,300ERF
N322US,0263,Airbus,FA849,A320,200
N322VA,560-0399,Textron Aviation (Cessna),ZZZZZ,Citation Ultra (Cessna 560),560 Citation Ultra
N322WS,0891,Airbus,FA849,A321,200
N323AD,525A-0124,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ2 (Cessna 525A),525A CJ2
N323AE,323,Saab,ZZZZZ,Saab 340,B
N323AP,31-8252031,Piper,ZZZZZ,PA-31 Navajo,PA-31-350 Chieftain
N323AS,30021,Boeing,81205,737 NG,900
N323DB,FL-23,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N323DD,31-8152170,Piper,ZZZZZ,PA-31 Navajo,PA-31-350 Chieftain
N323DN,7672,Airbus,FA849,A321,200
N323EG,80,Dassault,F6117,Falcon 2000,
N323EP,50500102,Embraer,001JK,Phenom,300
N323EZ,525-0128,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CitationJet
N323FL,46-8508096,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N323FR,7925,Airbus,FA849,A320,200N neo
N323HA,LW-323,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air E90
N323JB,19000384,Embraer,001JK,E190,
N323JR,S550-0129,Textron Aviation (Cessna),ZZZZZ,Citation S/II (Cessna S550),S550 Citation S/II
N323KM,RB-270,Textron Aviation (Beechcraft),ZZZZZ,Premier I,
N323KP,50500498,Embraer,001JK,Phenom,300
N323MA,4636318,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N323MK,4077,Gulfstream,2AAX5,Gulfstream G350,
N323NB,1453,Airbus,FA849,A319,100
N323NE,560-0442,Textron Aviation (Cessna),ZZZZZ,Citation Ultra (Cessna 560),560 Citation Ultra
N323NV,2538,Airbus,FA849,A319,100
N323NX,1323,Pilatus,ZZZZZ,PC-12,47
N323P,096,Gulfstream,2AAX5,Gulfstream G100 / IAI 1125 Astra,Astra SPX
N323PG,510-0288,Textron Aviation (Cessna),ZZZZZ,Citation Mustang (Cessna 510),510 Citation Mustang
N323PX,BB-1803,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N323QS,680-0134,Textron Aviation (Cessna),ZZZZZ,Citation Sovereign (Cessna 680),680 Citation Sovereign
N323RM,44453,Boeing,81205,737 Max,8
N323RR,60-160,Bombardier (Learjet),L00I6,Learjet 60,
N323SG,44474,Boeing,81205,737 Max,8
N323SH,5343,Bombardier (Canadair),L00I6,Challenger,604
N323SJ,119,Viking Air,ZZZZZ,DHC-6,200
N323SK,525A-0134,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ2 (Cessna 525A),525A CJ2
N323UP,27749,Boeing,81205,767,300ERF
N323US,0272,Airbus,FA849,A320,200
N323WA,1478,Viking Air,ZZZZZ,DHC-2,
N32404,30121,Boeing,81205,737 NG,900
N3246S,LJ-1576,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N3247M,414A-0828,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N3249M,402C-0296,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402C
N324AC,197,Pilatus,ZZZZZ,PC-12,45
N324AD,67,Dassault,F6117,Falcon 900,B
N324AR,31T-7620052,Piper,ZZZZZ,PA-31T,Cheyenne II
N324AS,50500465,Embraer,001JK,Phenom,300
N324BD,525-0674,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CJ1+
N324BK,1021,Pilatus,ZZZZZ,PC-12,47
N324CC,208-00324,Textron Aviation (Cessna),ZZZZZ,Cessna,208 Caravan
N324CD,BB-1528,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N324CH,33010,Boeing,81205,737 NG,BBJ1
N324DR,510-0271,Textron Aviation (Cessna),ZZZZZ,Citation Mustang (Cessna 510),510 Citation Mustang
N324DX,7765,Airbus,FA849,A321,200
N324FL,50500075,Embraer,001JK,Phenom,300
N324FP,1475,Gulfstream,2AAX5,Gulfstream IV,SP
N324FR,7967,Airbus,FA849,A320,200N neo
N324GM,310,Mitsubishi,ZZZZZ,MU-2,B-25 (K)
N324JB,19000388,Embraer,001JK,E190,
N324JC,500-0324,Textron Aviation (Cessna),ZZZZZ,Citation I (Cessna 500),500 Citation
N324JP,LJ-1921,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90GTi
N324JT,550-0819,Textron Aviation (Cessna),ZZZZZ,Citation Bravo (Cessna 550),550 Citation Bravo
N324JW,324,Gulfstream,2AAX5,G-1159A Gulfstream III,
N324K,5516,Gulfstream,2AAX5,Gulfstream G550,
N324L,501-0197,Textron Aviation (Cessna),ZZZZZ,Citation I (Cessna 500),501 Citation I SP
N324LM,560-0395,Textron Aviation (Cessna),ZZZZZ,Citation Ultra (Cessna 560),560 Citation Ultra
N324MJ,510-0214,Textron Aviation (Cessna),ZZZZZ,Citation Mustang (Cessna 510),510 Citation Mustang
N324NB,1456,Airbus,FA849,A319,100
N324NV,2709,Airbus,FA849,A319,100
N324PK,4698074,Piper,ZZZZZ,PA-46 Malibu,PA-46 M600
N324PQ,15324,Bombardier (Canadair),L00I6,CRJ900,
N324QS,680-0242,Textron Aviation (Cessna),ZZZZZ,Citation Sovereign (Cessna 680),680 Citation Sovereign
N324RA,44459,Boeing,81205,737 Max,8
N324RN,44454,Boeing,81205,737 Max,8
N324SA,UC-94,Textron Aviation (Beechcraft),ZZZZZ,Beech 1900,C-1
N324SC,490,Pilatus,ZZZZZ,PC-12,45
N324SH,44475,Boeing,81205,737 Max,8
N324UP,27750,Boeing,81205,767,300ERF
N324US,0273,Airbus,FA849,A320,200
N324WK,108,Gulfstream,2AAX5,Gulfstream G200 / IAI Galaxy,Gulfstream G200 (IAI Galaxy)
N3250V,BB-1523,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N3252Y,208B-1088,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
N325AP,EX267,Dassault,F6117,Falcon 2000, LXS
N325B,EX197,Dassault,F6117,Falcon 2000, LX
N325BB,31-7512021,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N325BH,31-8012053,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N325CC,31-7612057,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N325CR,31-7912001,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N325DN,7709,Airbus,FA849,A321,200
N325ER,60-325,Bombardier (Learjet),L00I6,Learjet 60,
N325FA,31-8212005,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N325FJ,31-7812007,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N325FS,746,Pilatus,ZZZZZ,PC-12,47
N325HS,510-0325,Textron Aviation (Cessna),ZZZZZ,Citation Mustang (Cessna 510),510 Citation Mustang
N325J,31-7712002,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N325JF,145499,Embraer,001JK,ERJ-135,
N325KC,414A-0825,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N325LT,046,Epic Aircraft,ZZZZZ,LT/ Dynasty,LT
N325MA,325,Mitsubishi,ZZZZZ,MU-2,B-26 (M)
N325ME,1374,Pilatus,ZZZZZ,PC-12,47
N325MR,4636358,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N325MW,325,Pilatus,ZZZZZ,PC-12,45
N325NB,1483,Airbus,FA849,A319,100
N325ND,560-5284,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N325NV,2729,Airbus,FA849,A319,100
N325NW,325,Bombardier (Learjet),L00I6,Learjet 35,A
N325PE,20409,Bombardier (Canadair),L00I6,Challenger,300
N325PQ,15325,Bombardier (Canadair),L00I6,CRJ900,
N325PT,45-387,Bombardier (Learjet),L00I6,Learjet 45,
N325QS,50500168,Embraer,001JK,Phenom,300 Platinum
N325RC,525B-0021,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N325RD,650-7056,Textron Aviation (Cessna),ZZZZZ,Citation VII (Cessna 650),670 Citation VII
N325RR,LJ-289,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air A90
N325SA,31-7812115,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N325SH,14501032,Embraer,001JK,ERJ-135,Legacy 600
N325TG,20455,Bombardier (Canadair),L00I6,Challenger,300
N325TW,4697427,Piper,ZZZZZ,PA-46 Malibu,PA-46-500TP Malibu Meridian
N325UE,41063,BAE Systems (Jetstream),K1987,Jetstream 41,
N325UP,27751,Boeing,81205,767,300ERF
N325US,0281,Airbus,FA849,A320,200
N325WJ,20449,Bombardier (Canadair),L00I6,Challenger,300
N325WP,550-0933,Textron Aviation (Cessna),ZZZZZ,Citation Bravo (Cessna 550),550 Citation Bravo
N325WR,LA-10,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air F90
N3262M,550-0652,Textron Aviation (Cessna),ZZZZZ,Citation II (Cessna 550),550 Citation II
N3262R,LJ-1562,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N3263C,LJ-1432,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N3263N,LJ-1563,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N326AJ,BB-396,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,
N326AZ,4020,Gulfstream,2AAX5,Gulfstream G450,
N326BA,TC-269,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,SA226 TC
N326CA,U-135,Textron Aviation (Beechcraft),ZZZZZ,Beech 99,B99
N326DD,173,Bombardier (Learjet),L00I6,Learjet 35,A
N326DN,7845,Airbus,FA849,A321,200
N326DW,FL-824,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N326EW,EX248,Dassault,F6117,Falcon 2000, LX
N326FL,50500093,Embraer,001JK,Phenom,300
N326FR,8102,Airbus,FA849,A320,200N neo
N326HG,60-163,Bombardier (Learjet),L00I6,Learjet 60,
N326JK,525-0511,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CJ1
N326KW,BB-1360,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N326LF,146,Dassault,F6117,Falcon 900,B
N326MA,560-5159,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N326MS,15124,Bombardier (Canadair),L00I6,CRJ900,
N326N,258140/NA0427,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,BAe 125 800
N326NB,1498,Airbus,FA849,A319,100
N326NV,2586,Airbus,FA849,A319,100
N326PA,362,Pilatus,ZZZZZ,PC-12,45
N326PQ,15326,Bombardier (Canadair),L00I6,CRJ900,
N326QS,50500385,Embraer,001JK,Phenom,300 Platinum
N326RM,208-00315,Textron Aviation (Cessna),ZZZZZ,Cessna,208 Caravan
N326RP,44456,Boeing,81205,737 Max,8
N326RS,441-0326,Textron Aviation (Cessna),ZZZZZ,Cessna,441
N326RT,BB-553,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,
N326SJ,44476,Boeing,81205,737 Max,8
N326TD,257178,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,HS125 700
N326TR,20917,Boeing,81205,737 (JT8D),200C
N326UP,27752,Boeing,81205,767,300ERF
N326US,0282,Airbus,FA849,A320,200
N326V,733,Pilatus,ZZZZZ,PC-12,47
N327A,1158,Piaggio,ZZZZZ,P.180,Avanti II
N327AG,427,Saab,ZZZZZ,Saab 340,B
N327BA,BE-99,Textron Aviation (Beechcraft),ZZZZZ,King Air 100,King Air B100
N327BG,4697073,Piper,ZZZZZ,PA-46 Malibu,PA-46-500TP Malibu Meridian
N327DN,7777,Airbus,FA849,A321,200
N327DW,BY-327,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air 250
N327EN,261,Bombardier (de Havilland),L00I6,DHC-8,300
N327FX,5466,Bombardier (Canadair),L00I6,Challenger,604
N327GA,157,Gulfstream,2AAX5,Gulfstream G100 / IAI 1125 Astra,
N327JA,560-6227,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N327JZ,327,Pilatus,ZZZZZ,PC-12,45
N327LC,BB-1427,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N327LX,EX327,Dassault,F6117,Falcon 2000, LXS
N327MC,50500495,Embraer,001JK,Phenom,300
N327ME,FA-127,Textron Aviation (Beechcraft),ZZZZZ,King Air 300,300LW
N327MJ,1099,Piaggio,ZZZZZ,P.180,Avanti
N327MM,560-5149,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N327MP,HB-72,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,Hawker 750
N327MW,414A-0531,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N327NB,1501,Airbus,FA849,A319,100
N327NM,510-0294,Textron Aviation (Cessna),ZZZZZ,Citation Mustang (Cessna 510),510 Citation Mustang
N327NV,2556,Airbus,FA849,A319,100
N327NW,0297,Airbus,FA849,A320,200
N327PD,525B-0482,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3+
N327QS,50500170,Embraer,001JK,Phenom,300 Platinum
N327R,FL-259,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N327RB,BB-335,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,
N327RM,31-7912019,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N327RX,EX274,Dassault,F6117,Falcon 2000, LXS
N327SA,166,Saab,ZZZZZ,Saab 340,B
N327SF,511,Pilatus,ZZZZZ,PC-12,45
N327SK,44477,Boeing,81205,737 Max,8
N327TL,1339,Gulfstream,2AAX5,Gulfstream IV,SP
N327TS,42.AC027,Diamond,ZZZZZ,DA42,
N327TX,525B-0227,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N327UP,27753,Boeing,81205,767,300ERF
N327US,47414,Boeing (McDonnell-Douglas),88277,DC-9,33F
N327WL,208B-0547,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
N327YR,1173,Piaggio,ZZZZZ,P.180,Avanti II
N328AG,428,Saab,ZZZZZ,Saab 340,B
N328AJ,FL-498,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N328CJ,525-0328,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CitationJet
N328CR,BB-548,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,
N328DN,7840,Airbus,FA849,A321,200
N328EN,281,Bombardier (de Havilland),L00I6,DHC-8,300
N328FR,8118,Airbus,FA849,A320,200N neo
N328GT,3183,328 Support Services,ZZZZZ,Dornier,328JET
N328JB,19000422,Embraer,001JK,E190,
N328JP,328,Pilatus,ZZZZZ,PC-12,45
N328JV,260,Viking Air,ZZZZZ,DHC-2,
N328LN,3150,328 Support Services,ZZZZZ,Dornier,328JET
N328MM,636,Gulfstream,2AAX5,Gulfstream V,
N328N,680A-0008,Textron Aviation (Cessna),ZZZZZ,Citation Latitude (Cessna 680A),680A Citation Latitude
N328NA,501-0168,Textron Aviation (Cessna),ZZZZZ,Citation I (Cessna 500),501 Citation I SP
N328NB,1520,Airbus,FA849,A319,100
N328NV,2821,Airbus,FA849,A319,100
N328NW,0298,Airbus,FA849,A320,200
N328PC,328,IAI,ZZZZZ,IAI 1123/1124 Westwind,1124
N328PF,560-5096,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N328QS,50500175,Embraer,001JK,Phenom,300 Platinum
N328RC,525B-0203,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N328RE,31T-8166068,Piper,ZZZZZ,PA-31T,2 Cheyenne IIXL
N328RP,560-5747,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N328RR,44457,Boeing,81205,737 Max,8
N328SF,269,Pilatus,ZZZZZ,PC-12,45
N328TC,44492,Boeing,81205,737 Max,8
N328TS,42.AC028,Diamond,ZZZZZ,DA42,
N328UP,27754,Boeing,81205,767,300ERF
N328WW,3116,328 Support Services,ZZZZZ,Dornier,328JET
N3292C,4697210,Piper,ZZZZZ,PA-46 Malibu,PA-46-500TP Malibu Meridian
N3292M,402C-0304,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402C
N329AE,329,Saab,ZZZZZ,Saab 340,B
N329BH,525B-0292,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N329BJ,61329,Boeing,81205,737 Max,8 BBJ
N329CH,20185,Bombardier (Canadair),L00I6,Challenger,300
N329CJ,525B-0130,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N329DN,7885,Airbus,FA849,A321,200
N329EN,290,Bombardier (de Havilland),L00I6,DHC-8,300
N329FD,1150,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 930
N329FR,8135,Airbus,FA849,A320,200N neo
N329GS,LJ-1320,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N329HF,4108,Gulfstream,2AAX5,Gulfstream G450,
N329HS,T-323,Fairchild (Swearingen),ZZZZZ,Merlin III,SA226 T(B)
N329JB,19000433,Embraer,001JK,E190,
N329KK,31T-8104011,Piper,ZZZZZ,PA-31T,1 Cheyenne I
N329KS,4636593,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N329LH,525C-0248,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ4 (Cessna 525C),525C CJ4
N329MD,5098,Bombardier (Canadair),L00I6,Challenger,601-3
N329MH,BY-40,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N329MM,192,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700 B
N329MS,15126,Bombardier (Canadair),L00I6,CRJ900,
N329MX,3049,328 Support Services,ZZZZZ,Dornier 328,328 100
N329NB,1543,Airbus,FA849,A319,100
N329NG,329,Pilatus,ZZZZZ,PC-12,45
N329NV,2876,Airbus,FA849,A319,100
N329NW,0306,Airbus,FA849,A320,200
N329PK,092,Gulfstream,2AAX5,Gulfstream G200 / IAI Galaxy,Gulfstream G200 (IAI Galaxy)
N329PQ,15329,Bombardier (Canadair),L00I6,CRJ900,
N329PV,560-0140,Textron Aviation (Cessna),ZZZZZ,Citation V (Cessna 560),560 Citation V
N329SH,525C-0194,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ4 (Cessna 525C),525C CJ4
N329SK,441,Pilatus,ZZZZZ,PC-12,45
N329SL,44478,Boeing,81205,737 Max,8
N329TJ,120,Bombardier (Learjet),L00I6,Learjet 55,
N329TL,5714,Bombardier (Canadair),L00I6,Challenger,605
N329TS,1562,Pilatus,ZZZZZ,PC-12,47
N329TT,4636513,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N329UP,27755,Boeing,81205,767,300ERF
N32AA,45-399,Bombardier (Learjet),L00I6,Learjet 45,
N32AC,525B-0257,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N32AL,11336,Rockwell,ZZZZZ,Turbo Commander,690A
N32BA,LJ-475,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air B90
N32BG,138,Gulfstream,2AAX5,Gulfstream G200 / IAI Galaxy,Gulfstream G200 (IAI Galaxy)
N32BR,680A-0176,Textron Aviation (Cessna),ZZZZZ,Citation Latitude (Cessna 680A),680A Citation Latitude
N32CA,4697216,Piper,ZZZZZ,PA-46 Malibu,PA-46-500TP Malibu Meridian
N32CK,4697123,Piper,ZZZZZ,PA-46 Malibu,PA-46-500TP Malibu Meridian
N32EA,BY-32,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N32EC,699SA,Mitsubishi,ZZZZZ,MU-2,B-36A (N)
N32ED,4636463,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N32EL,208B-0960,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
N32FJ,650-7032,Textron Aviation (Cessna),ZZZZZ,Citation VII (Cessna 650),670 Citation VII
N32FM,510-0212,Textron Aviation (Cessna),ZZZZZ,Citation Mustang (Cessna 510),510 Citation Mustang
N32GA,11215,Rockwell,ZZZZZ,Turbo Commander,690A
N32GH,62.026,Diamond,ZZZZZ,DA62,
N32GK,0026,Cirrus,ZZZZZ,SF50 Vision,
N32GW,1689,Viking Air,ZZZZZ,DHC-2,Turbo Beaver
N32HH,201,Bombardier (Learjet),L00I6,Learjet 31,A
N32HM,499,Bombardier (Learjet),L00I6,Learjet 35,A
N32KB,258461,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,Hawker 800
N32KC,50500339,Embraer,001JK,Phenom,300
N32KE,50000063,Embraer,001JK,Phenom,100
N32KM,560-5715,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N32LJ,BB-993,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N32MJ,460,Gulfstream,2AAX5,G-1159A Gulfstream III,
N32NH,208B-5360,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
